Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,31.6,0.0,-1.0,1.0,no change,,no change,,-0.2,6.0,24.83,0.68,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,78.0,,,0.0,0.0,,31.5,88.7,Database 2,3465.376560064098
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,30.0,0.0,0.0,1.0,no change,,more,,-0.2,6.0,24.83,0.68,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,55.0,,,0.0,0.0,,31.5,88.7,Database 2,3957.189951141535
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,31.6,0.0,-1.0,0.0,warmer,,more,,-0.2,6.0,24.83,0.68,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,65.0,,,0.0,0.0,,31.5,88.7,Database 2,3465.376560064098
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,31.6,0.0,-1.0,1.0,warmer,,less,,-0.2,6.0,24.83,0.68,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,80.0,,,0.0,0.0,,31.5,88.7,Database 2,3465.376560064098
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,28.6,1.0,0.0,1.0,cooler,,more,,-0.3,7.0,24.51,0.63,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,60.0,,,0.0,0.0,,31.5,88.7,Database 2,3664.015225735402
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,28.6,1.0,0.0,1.0,no change,,no change,,-0.3,7.0,24.51,0.63,1.0,,,,,26.0,78.8,,,,,,,,,,,,,25.5,77.9,,,,,35.0,,,0.18,35.43,,,,,,,,48.0,,,0.0,0.0,,31.5,88.7,Database 2,3664.015225735402
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,20.4,0.0,0.0,1.0,cooler,,no change,,-0.6,11.0,23.74,0.68,1.0,,,,,25.0,77.0,,,,,,,,,,,,,24.4,75.9,,,,,39.0,,,0.19,37.4,,,,,,,,70.0,,,0.0,0.0,,31.5,88.7,Database 2,3741.7133823776
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,23.4,0.0,1.0,1.0,cooler,,less,,-0.7,15.0,23.33,0.62,1.0,,,,,25.0,77.0,,,,,,,,,,,,,24.4,75.9,,,,,39.0,,,0.19,37.4,,,,,,,,60.0,,,0.0,0.0,,31.5,88.7,Database 2,4068.9434933951406
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,20.4,1.0,1.0,0.0,cooler,,more,,-0.5,9.0,24.01,0.72,1.0,,,,,25.0,77.0,,,,,,,,,,,,,24.4,75.9,,,,,39.0,,,0.19,37.4,,,,,,,,52.0,,,0.0,0.0,,31.5,88.7,Database 2,3340.015987349548
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,23.8,0.0,-1.0,1.0,no change,,more,,-0.6,11.0,23.74,0.68,1.0,,,,,25.0,77.0,,,,,,,,,,,,,24.4,75.9,,,,,39.0,,,0.19,37.4,,,,,,,,55.0,,,0.0,0.0,,31.5,88.7,Database 2,3682.111166066266
